GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.booksphere.orderservice.config,RabbitMQConfig,0,40,0,0,0,11,0,6,0,6
order-service,com.booksphere.orderservice,OrderServiceApplication,0,12,0,0,0,4,0,3,0,3
order-service,com.booksphere.orderservice.dto,AddressDTO,56,330,16,54,0,12,24,34,8,15
order-service,com.booksphere.orderservice.dto,NotificationEvent.NotificationEventBuilder,16,56,0,0,0,1,1,9,1,9
order-service,com.booksphere.orderservice.dto,OrderDTO,88,301,40,30,0,12,40,18,8,15
order-service,com.booksphere.orderservice.dto,OrderItemDTO,66,234,30,24,0,10,30,16,6,13
order-service,com.booksphere.orderservice.dto,AddressDTO.AddressDTOBuilder,18,63,0,0,0,1,1,10,1,10
order-service,com.booksphere.orderservice.dto,NotificationEvent,77,266,35,27,0,11,35,17,7,14
order-service,com.booksphere.orderservice.dto,OrderDTO.OrderDTOBuilder,21,63,0,0,0,1,1,10,1,10
order-service,com.booksphere.orderservice.dto,OrderItemDTO.OrderItemDTOBuilder,14,49,0,0,0,1,1,8,1,8
order-service,com.booksphere.orderservice.exception,OrderException,0,4,0,0,0,2,0,1,0,1
order-service,com.booksphere.orderservice.exception,OrderNotFoundException,0,4,0,0,0,2,0,1,0,1
order-service,com.booksphere.orderservice.service,OrderServiceImpl,55,386,16,30,10,94,16,25,2,15
order-service,com.booksphere.orderservice.controller,OrderController,7,278,4,12,0,76,4,16,0,12
order-service,com.booksphere.orderservice.model,Address.AddressBuilder,18,63,0,0,0,1,1,10,1,10
order-service,com.booksphere.orderservice.model,Address,24,362,16,54,0,12,16,42,0,23
order-service,com.booksphere.orderservice.model,Order,49,336,15,55,1,10,16,41,1,21
order-service,com.booksphere.orderservice.model,OrderItem,37,259,11,43,1,8,12,33,1,17
